building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage,rooms,latitude,longitude,distance_wh,distance_cap,zscore_price
The Alden,"2620 13th St NW, Washington, DC","Historic building with building-wide WiFi, indoor bike storage and front and backyards. Residents enjoy units that offer cherry cabinets, washer/dryer sets and white oak floors. Located in Columbia Heights, close to Meridian Hill Park.",12,2 Bedrooms,2525,600,3,38.9242518,-77.02995419999998,2946,4226,0.03412795408565091
The Alden,"2620 13th St NW, Washington, DC","Historic building with building-wide WiFi, indoor bike storage and front and backyards. Residents enjoy units that offer cherry cabinets, washer/dryer sets and white oak floors. Located in Columbia Heights, close to Meridian Hill Park.",12,3 Bedrooms,2872,1714,4,38.9242518,-77.02995419999998,2946,4226,0.26217590681377234
Naylor Overlook,"2633-2645 Naylor Road Southeast, Washington, DC","Step into Naylor Overlook and you will find completely renovated one, two, & three bedroom apartments and duplexes for rent.",1,1 Bedroom,1651,719,2,38.8624367,-76.97026939999998,6900,4519,-0.540263719356361
Naylor Overlook,"2633-2645 Naylor Road Southeast, Washington, DC","Step into Naylor Overlook and you will find completely renovated one, two, & three bedroom apartments and duplexes for rent.",1,2 Bedrooms,1535,823,3,38.8624367,-76.97026939999998,6900,4519,-0.6164987698360789
Naylor Overlook,"2633-2645 Naylor Road Southeast, Washington, DC","Step into Naylor Overlook and you will find completely renovated one, two, & three bedroom apartments and duplexes for rent.",1,3 Bedrooms,2872,1714,4,38.8624367,-76.97026939999998,6900,4519,0.26217590681377234
4115 Wisconsin,"4115 Wisconsin Avenue Northwest, Washington, DC","Spacious traditional-style apartments offer easy access to the AU Metro Station, parks, and restaurants. Community features modern amenities, including updated kitchens and floor plans. Pets welcome.",4,Studio,1311,480,1,38.9429103,-77.07647800000002,6120,8315,-0.763711281107258
4115 Wisconsin,"4115 Wisconsin Avenue Northwest, Washington, DC","Spacious traditional-style apartments offer easy access to the AU Metro Station, parks, and restaurants. Community features modern amenities, including updated kitchens and floor plans. Pets welcome.",4,1 Bedroom,1728,664,2,38.9429103,-77.07647800000002,6120,8315,-0.48965941860689316
4115 Wisconsin,"4115 Wisconsin Avenue Northwest, Washington, DC","Spacious traditional-style apartments offer easy access to the AU Metro Station, parks, and restaurants. Community features modern amenities, including updated kitchens and floor plans. Pets welcome.",4,2 Bedrooms,2320,1106,3,38.9429103,-77.07647800000002,6120,8315,-0.10059778167591939
Remington Apartments,"601 24th Street Northwest, Washington, DC","The Remington Apartments is located at 601 24th Street, NW Washington, DC in the Foggy Bottom neighborhood by the World Bank, State Department, the Advisory Board, OAS, GW University and Hospital, Georgetown, American and Johns Hopkins universities.",3,1 Bedroom,2525,648,2,38.8980763,-77.05115970000001,1364,3802,0.03412795408565091
The Stanton,"816 E St NE, Washington, DC","The Stanton has undergone a complete building renovation! The Stanton is a set of two historic 1920s apartment buildings connected by a private courtyard, in the Capitol Hill neighborhood, located three blocks from DC’s H Street Corridor.",61,Studio,1572,351,1,38.8963692,-76.9939677,3602,1446,-0.592182417527893
The Stanton,"816 E St NE, Washington, DC","The Stanton has undergone a complete building renovation! The Stanton is a set of two historic 1920s apartment buildings connected by a private courtyard, in the Capitol Hill neighborhood, located three blocks from DC’s H Street Corridor.",61,1 Bedroom,1760,430,2,38.8963692,-76.9939677,3602,1446,-0.46862905985386755
The Stanton,"816 E St NE, Washington, DC","The Stanton has undergone a complete building renovation! The Stanton is a set of two historic 1920s apartment buildings connected by a private courtyard, in the Capitol Hill neighborhood, located three blocks from DC’s H Street Corridor.",61,2 Bedrooms,2825,834,3,38.8963692,-76.9939677,3602,1446,0.23128756739526599
The Wallasey,"2426 19th Street Northwest, Washington, DC","You have found your new home here at The Wallasey, where historic charm and architecture blend with modern conveniences.",1,1 Bedroom,1982,577,2,38.9215904,-77.04623699999998,2775,4790,-0.3227309460047524
The Wallasey,"2426 19th Street Northwest, Washington, DC","You have found your new home here at The Wallasey, where historic charm and architecture blend with modern conveniences.",1,2 Bedrooms,2320,1106,3,38.9215904,-77.04623699999998,2775,4790,-0.10059778167591939
1221 Van,"1221 Van Street Southeast, Washington, DC","1221 Van is in the heart of one of D.C.’s most exciting neighborhoods. These new, luxury apartments feature breathtaking views of D.C.’s iconic monuments and the Anacostia River and immediate access to the waterfront Yards Park.",25,Studio,1565,429,1,38.87500670000001,-77.00844860000002,3468,1669,-0.5967828085051173
1221 Van,"1221 Van Street Southeast, Washington, DC","1221 Van is in the heart of one of D.C.’s most exciting neighborhoods. These new, luxury apartments feature breathtaking views of D.C.’s iconic monuments and the Anacostia River and immediate access to the waterfront Yards Park.",25,1 Bedroom,1715,631,2,38.87500670000001,-77.00844860000002,3468,1669,-0.4982030018503098
1221 Van,"1221 Van Street Southeast, Washington, DC","1221 Van is in the heart of one of D.C.’s most exciting neighborhoods. These new, luxury apartments feature breathtaking views of D.C.’s iconic monuments and the Anacostia River and immediate access to the waterfront Yards Park.",25,2 Bedrooms,3280,1068,3,38.87500670000001,-77.00844860000002,3468,1669,0.5303129809148489
Park Chelsea,"880 New Jersey Ave SE, Washington, DC",Park Chelsea is the first building of the luxury apartment community called The Collective.,45,Studio,1740,467,1,38.8796739,-77.0043561,3381,1207,-0.48177303407450855
Park Chelsea,"880 New Jersey Ave SE, Washington, DC",Park Chelsea is the first building of the luxury apartment community called The Collective.,45,1 Bedroom,1960,740,2,38.8796739,-77.0043561,3381,1207,-0.33718931764745746
Park Chelsea,"880 New Jersey Ave SE, Washington, DC",Park Chelsea is the first building of the luxury apartment community called The Collective.,45,2 Bedrooms,3230,1079,3,38.8796739,-77.0043561,3381,1207,0.49745304536324636
Agora at the Collective,"800 New Jersey Avenue Southeast, Washington, DC","Agora is the second building of the luxury apartment community called The Collective.  Located in the Capitol Riverfront at 800 New Jersey Ave SE Washington, DC, Agora boasts amenities such as an infinity pool, massage rooms, and golf simulator.",37,Studio,1311,480,1,38.880241,-77.005152,3288,1127,-0.763711281107258
Agora at the Collective,"800 New Jersey Avenue Southeast, Washington, DC","Agora is the second building of the luxury apartment community called The Collective.  Located in the Capitol Riverfront at 800 New Jersey Ave SE Washington, DC, Agora boasts amenities such as an infinity pool, massage rooms, and golf simulator.",37,1 Bedroom,2000,609,2,38.880241,-77.005152,3288,1127,-0.31090136920617545
Agora at the Collective,"800 New Jersey Avenue Southeast, Washington, DC","Agora is the second building of the luxury apartment community called The Collective.  Located in the Capitol Riverfront at 800 New Jersey Ave SE Washington, DC, Agora boasts amenities such as an infinity pool, massage rooms, and golf simulator.",37,2 Bedrooms,3250,1033,3,38.880241,-77.005152,3288,1127,0.5105970195838874
2M Street,"2 M Street NE, Washington, DC","2M is located in NoMa, one of DC's emerging downtown neighborhoods, and is just 12 blocks from the Capitol. This mixed-income building offers both market rate and affordable housing options.",11,Studio,1580,530,1,38.90605190000001,-77.0087203,2481,1776,-0.5869248278396366
2M Street,"2 M Street NE, Washington, DC","2M is located in NoMa, one of DC's emerging downtown neighborhoods, and is just 12 blocks from the Capitol. This mixed-income building offers both market rate and affordable housing options.",11,1 Bedroom,1845,684,2,38.90605190000001,-77.0087203,2481,1776,-0.4127671694161433
2M Street,"2 M Street NE, Washington, DC","2M is located in NoMa, one of DC's emerging downtown neighborhoods, and is just 12 blocks from the Capitol. This mixed-income building offers both market rate and affordable housing options.",11,2 Bedrooms,2880,977,3,38.90605190000001,-77.0087203,2481,1776,0.26743349650202874
Berkshire 15,"2011 15th St NW, Washington, DC","Luxury apartments with a lobby, concierge services, roof deck and 15 unique units. Prime location in the U Street Corridor close to Howard Theater. Units have floor-to-ceiling windows and are pet-friendly.",13,Studio,1799,482,1,38.9178974,-77.0340926,2205,3803,-0.44299831012361757
Berkshire 15,"2011 15th St NW, Washington, DC","Luxury apartments with a lobby, concierge services, roof deck and 15 unique units. Prime location in the U Street Corridor close to Howard Theater. Units have floor-to-ceiling windows and are pet-friendly.",13,1 Bedroom,2206,669,2,38.9178974,-77.0340926,2205,3803,-0.17551843473357312
Berkshire 15,"2011 15th St NW, Washington, DC","Luxury apartments with a lobby, concierge services, roof deck and 15 unique units. Prime location in the U Street Corridor close to Howard Theater. Units have floor-to-ceiling windows and are pet-friendly.",13,2 Bedrooms,3681,886,3,38.9178974,-77.0340926,2205,3803,0.793849664038701
The Edison,"1240 4th St, Washington, DC","One- and two-bedroom boutique apartments feature modern kitchens with islands, pendant lights and stainless steel appliances. On-site Trader Joe's. Near Gallaudet University and Union Station. Clubroom with library, bike storage, outdoor kitchen.",18,1 Bedroom,1810,579,2,38.9070755,-77.0163736,1932,2008,-0.435769124302265
The Edison,"1240 4th St, Washington, DC","One- and two-bedroom boutique apartments feature modern kitchens with islands, pendant lights and stainless steel appliances. On-site Trader Joe's. Near Gallaudet University and Union Station. Clubroom with library, bike storage, outdoor kitchen.",18,2 Bedrooms,2750,962,3,38.9070755,-77.0163736,1932,2008,0.18199766406786222
Highview & Castle Manor,"2505 13th St NW, Washington, DC","Located in Columbia Heights and close by to Meridian Hill Park. On-site laundry, gym, bike storage and 24-hour maintenance. Units include hardwood floors, patio/balcony and walk-in closets.",13,Studio,1544,353,1,38.9226463,-77.0292345,2781,4039,-0.6105839814367904
Highview & Castle Manor,"2505 13th St NW, Washington, DC","Located in Columbia Heights and close by to Meridian Hill Park. On-site laundry, gym, bike storage and 24-hour maintenance. Units include hardwood floors, patio/balcony and walk-in closets.",13,1 Bedroom,1856,705,2,38.9226463,-77.0292345,2781,4039,-0.4055379835947907
Highview & Castle Manor,"2505 13th St NW, Washington, DC","Located in Columbia Heights and close by to Meridian Hill Park. On-site laundry, gym, bike storage and 24-hour maintenance. Units include hardwood floors, patio/balcony and walk-in closets.",13,2 Bedrooms,2565,792,3,38.9226463,-77.0292345,2781,4039,0.06041590252693293
The Berkshire,"4201 Massachusetts Ave NW, Washington, DC",Enjoy quick access to American University and gardens thanks to this apartment's proximity to Massachusetts Avenue NW. Furnished units offer convenient dishwasher and extra storage. Property features include a volleyball court and key fob access.,231,Studio,1499,400,1,38.935681,-77.08185519999998,5800,8129,-0.6401579234332326
The Berkshire,"4201 Massachusetts Ave NW, Washington, DC",Enjoy quick access to American University and gardens thanks to this apartment's proximity to Massachusetts Avenue NW. Furnished units offer convenient dishwasher and extra storage. Property features include a volleyball court and key fob access.,231,1 Bedroom,1698,700,2,38.935681,-77.08185519999998,5800,8129,-0.5093753799378546
The Berkshire,"4201 Massachusetts Ave NW, Washington, DC",Enjoy quick access to American University and gardens thanks to this apartment's proximity to Massachusetts Avenue NW. Furnished units offer convenient dishwasher and extra storage. Property features include a volleyball court and key fob access.,231,2 Bedrooms,3050,1100,3,38.935681,-77.08185519999998,5800,8129,0.3791572773774773
Bell Capitol Hill,"1717 E Capitol St SE, Washington, DC","Bell Capitol Hill offers premium living, with stainless steel appliances, granite countertops, and modern floor plans. Located near Seattle's highest quality shopping, dining, and entertainment.",7,Studio,1311,480,1,38.8894333,-76.9798776,4914,2488,-0.763711281107258
Bell Capitol Hill,"1717 E Capitol St SE, Washington, DC","Bell Capitol Hill offers premium living, with stainless steel appliances, granite countertops, and modern floor plans. Located near Seattle's highest quality shopping, dining, and entertainment.",7,1 Bedroom,1755,715,2,38.8894333,-76.9798776,4914,2488,-0.4719150534090278
Bell Capitol Hill,"1717 E Capitol St SE, Washington, DC","Bell Capitol Hill offers premium living, with stainless steel appliances, granite countertops, and modern floor plans. Located near Seattle's highest quality shopping, dining, and entertainment.",7,2 Bedrooms,2465,967,3,38.8894333,-76.9798776,4914,2488,-0.0053039685762721
Reed Row,"2101 Champlain St NW, Washington, DC",All of the conveniences of Jefferson Avenue and Highway 40 are minutes from this community. Property features a resident lounge and 24-hour gym. Select units have private rooftop terraces.,9,Studio,1603,435,1,38.9185203,-77.039985,2305,4174,-0.5718092574858994
Reed Row,"2101 Champlain St NW, Washington, DC",All of the conveniences of Jefferson Avenue and Highway 40 are minutes from this community. Property features a resident lounge and 24-hour gym. Select units have private rooftop terraces.,9,1 Bedroom,2328,684,2,38.9185203,-77.039985,2305,4174,-0.09534019198766298
Reed Row,"2101 Champlain St NW, Washington, DC",All of the conveniences of Jefferson Avenue and Highway 40 are minutes from this community. Property features a resident lounge and 24-hour gym. Select units have private rooftop terraces.,9,2 Bedrooms,2320,1106,3,38.9185203,-77.039985,2305,4174,-0.10059778167591939
1600 Pennsylvania Ave SE,"1600 Pennsylvania Ave SE, Washington, DC","Open floor plans with designer fixtures, stainless steel appliances, views of the Anacostia River in some units. Pet-friendly, with smart-building technology. Minutes from Capitol Hill and Potomac Metro Transit Station.",9,Studio,1311,480,1,38.8791765,-76.98181269999998,5102,2614,-0.763711281107258
1600 Pennsylvania Ave SE,"1600 Pennsylvania Ave SE, Washington, DC","Open floor plans with designer fixtures, stainless steel appliances, views of the Anacostia River in some units. Pet-friendly, with smart-building technology. Minutes from Capitol Hill and Potomac Metro Transit Station.",9,1 Bedroom,1620,553,2,38.8791765,-76.98181269999998,5102,2614,-0.5606368793983546
1600 Pennsylvania Ave SE,"1600 Pennsylvania Ave SE, Washington, DC","Open floor plans with designer fixtures, stainless steel appliances, views of the Anacostia River in some units. Pet-friendly, with smart-building technology. Minutes from Capitol Hill and Potomac Metro Transit Station.",9,2 Bedrooms,2800,884,3,38.8791765,-76.98181269999998,5102,2614,0.21485759961946474
2401 Pennsylvania,"2401 Pennsylvania Ave NW, Washington, DC",Luxury apartment community with on-site retail and dining situated just a few minutes from Foggy Bottom Metro Station. Well-appointed 1- and 2-bedroom apartments with spectacular views of Georgetown and downtown Washington D.C.,5,1 Bedroom,3985,1075,2,38.9032952,-77.05174269999998,1529,4025,0.9936380721924443
2401 Pennsylvania,"2401 Pennsylvania Ave NW, Washington, DC",Luxury apartment community with on-site retail and dining situated just a few minutes from Foggy Bottom Metro Station. Well-appointed 1- and 2-bedroom apartments with spectacular views of Georgetown and downtown Washington D.C.,5,2 Bedrooms,5585,1900,3,38.9032952,-77.05174269999998,1529,4025,2.0451560098437245
Westbrooke Place,"2201 N St NW, Washington, DC","Modern apartments within walking distance of Dupont Circle and Foggy Bottom metro stations. Amenities include an indoor lap pool, fitness center and rooftop BBQ grilling area. Complimentary continental breakfasts and concierge services available.",23,Studio,1841,495,1,38.9074997,-77.04938539999998,1600,4037,-0.4153959642602715
Westbrooke Place,"2201 N St NW, Washington, DC","Modern apartments within walking distance of Dupont Circle and Foggy Bottom metro stations. Amenities include an indoor lap pool, fitness center and rooftop BBQ grilling area. Complimentary continental breakfasts and concierge services available.",23,1 Bedroom,2385,702,2,38.9074997,-77.04938539999998,1600,4037,-0.05787986545883612
Westbrooke Place,"2201 N St NW, Washington, DC","Modern apartments within walking distance of Dupont Circle and Foggy Bottom metro stations. Amenities include an indoor lap pool, fitness center and rooftop BBQ grilling area. Complimentary continental breakfasts and concierge services available.",23,2 Bedrooms,4031,1062,3,38.9074997,-77.04938539999998,1600,4037,1.0238692128999185
Gables City Vista,"460 L St NW, Washington, DC","Located walking distance to two Metro stations, Chinatown and multiple restaurants. Tenants can access a green courtyard, fitness center and garage. Units are furnished, pet friendly and offer hardwood floors with granite counters.",18,Studio,1521,544,1,38.90359229999999,-77.01794740000003,1636,1710,-0.6256995517905275
Gables City Vista,"460 L St NW, Washington, DC","Located walking distance to two Metro stations, Chinatown and multiple restaurants. Tenants can access a green courtyard, fitness center and garage. Units are furnished, pet friendly and offer hardwood floors with granite counters.",18,1 Bedroom,1735,696,2,38.90359229999999,-77.01794740000003,1636,1710,-0.4850590276296688
Gables City Vista,"460 L St NW, Washington, DC","Located walking distance to two Metro stations, Chinatown and multiple restaurants. Tenants can access a green courtyard, fitness center and garage. Units are furnished, pet friendly and offer hardwood floors with granite counters.",18,2 Bedrooms,2531,1046,3,38.90359229999999,-77.01794740000003,1636,1710,0.038071146351843214
Station House,"701 2nd St NE, Washington, DC","Discover Station House – Washington, DC’s premier new address, designed for the way you want to live now.",50,Studio,1550,513,1,38.8991263,-77.00330500000003,2789,1105,-0.606640789170598
Station House,"701 2nd St NE, Washington, DC","Discover Station House – Washington, DC’s premier new address, designed for the way you want to live now.",50,1 Bedroom,1900,675,2,38.8991263,-77.00330500000003,2789,1105,-0.3766212403093805
Station House,"701 2nd St NE, Washington, DC","Discover Station House – Washington, DC’s premier new address, designed for the way you want to live now.",50,2 Bedrooms,2600,987,3,38.8991263,-77.00330500000003,2789,1105,0.08341785741305469
215 C Street,"215 C St SE, Washington, DC","Centrally located apartment complex is fully furnished and recently renovated with hardwood floors. All units air conditioned. Covered garage parking, on-site laundry and volleyball court. Cats welcome.",13,Studio,1495,368,1,38.8857981,-77.0027813,3143,687,-0.6427867182773609
215 C Street,"215 C St SE, Washington, DC","Centrally located apartment complex is fully furnished and recently renovated with hardwood floors. All units air conditioned. Covered garage parking, on-site laundry and volleyball court. Cats welcome.",13,1 Bedroom,1651,719,2,38.8857981,-77.0027813,3143,687,-0.540263719356361
Gables Takoma Park,"7035 Blair Rd NW, Washington, DC","Pet-friendly, fully furnished homes with granite counters, stainless steel appliances and a patio/balcony. Access to an on-site gym. Close to Rock Creek Park for a convenient natural getaway, and near the Takoma Park Library.",12,Studio,1453,566,1,38.97568589999999,-77.0187981,8737,9548,-0.670389064140707
Gables Takoma Park,"7035 Blair Rd NW, Washington, DC","Pet-friendly, fully furnished homes with granite counters, stainless steel appliances and a patio/balcony. Access to an on-site gym. Close to Rock Creek Park for a convenient natural getaway, and near the Takoma Park Library.",12,1 Bedroom,1810,817,2,38.97568589999999,-77.0187981,8737,9548,-0.435769124302265
Gables Takoma Park,"7035 Blair Rd NW, Washington, DC","Pet-friendly, fully furnished homes with granite counters, stainless steel appliances and a patio/balcony. Access to an on-site gym. Close to Rock Creek Park for a convenient natural getaway, and near the Takoma Park Library.",12,2 Bedrooms,2320,1106,3,38.97568589999999,-77.0187981,8737,9548,-0.10059778167591939
Gables Dupont Circle,"1750 P St NW, Washington, DC","Trendy, walkable Dupont Circle neighborhood with close access to public transportation. Carport and bike storage access. Concierge and 24-hour maintenance. Spacious furnished units with walk-in closets, patio/balcony access and stainless steel appliances.",9,1 Bedroom,2545,774,2,38.9094281,-77.0408396,1346,3532,0.04727192830629192
Gables Dupont Circle,"1750 P St NW, Washington, DC","Trendy, walkable Dupont Circle neighborhood with close access to public transportation. Carport and bike storage access. Concierge and 24-hour maintenance. Spacious furnished units with walk-in closets, patio/balcony access and stainless steel appliances.",9,2 Bedrooms,3735,1187,3,38.9094281,-77.0408396,1346,3532,0.8293383944344317
The Century,"2651 16th Street Northwest, Washington, DC","Experience better living at the Century!

The Century is a newly renovated luxury apartment building. Located on 16th Street NW, just north of historic Meridian Hill Park, our apartments merge history with contemporary design.",6,Studio,1765,466,1,38.92458660000001,-77.0359593,2945,4511,-0.46534306629870725
The Century,"2651 16th Street Northwest, Washington, DC","Experience better living at the Century!

The Century is a newly renovated luxury apartment building. Located on 16th Street NW, just north of historic Meridian Hill Park, our apartments merge history with contemporary design.",6,1 Bedroom,1667,686,2,38.92458660000001,-77.0359593,2945,4511,-0.5297485399798482
The Century,"2651 16th Street Northwest, Washington, DC","Experience better living at the Century!

The Century is a newly renovated luxury apartment building. Located on 16th Street NW, just north of historic Meridian Hill Park, our apartments merge history with contemporary design.",6,2 Bedrooms,2320,1106,3,38.92458660000001,-77.0359593,2945,4511,-0.10059778167591939
Kalorama Park,"1840 Columbia Road Northwest, Washington, DC","Kalorama Park is city living at its finest. Located in the vibrant neighborhood of Adams Morgan, just steps away from eclectic shops, delicious restaurants, and popular nightlife destinations, this apartment building has everything at its fingertips.",1,2 Bedrooms,3471,1217,3,38.9216296,-77.04322640000002,2702,4619,0.6558379347219705
2900 Adams Mill,"2900 Adams Mill Road Northwest, Washington, DC","2900 Adams Mill is located on a quiet tree-lined street, with views overlooking Rock Creek Park from the highly sought after Adams Morgan neighborhood in DC.",3,1 Bedroom,1834,446,2,38.9269035,-77.0435383,3278,5094,-0.4199963552374958
2900 Adams Mill,"2900 Adams Mill Road Northwest, Washington, DC","2900 Adams Mill is located on a quiet tree-lined street, with views overlooking Rock Creek Park from the highly sought after Adams Morgan neighborhood in DC.",3,2 Bedrooms,2320,1106,3,38.9269035,-77.0435383,3278,5094,-0.10059778167591939
501 12th Street,"501 12th Street Northeast, Washington, DC",This 1926 boutique building maintains its historic charm while offering modern luxury living.,1,Studio,1311,480,1,38.8963632,-76.9898901,3955,1763,-0.763711281107258
501 12th Street,"501 12th Street Northeast, Washington, DC",This 1926 boutique building maintains its historic charm while offering modern luxury living.,1,1 Bedroom,1651,719,2,38.8963632,-76.9898901,3955,1763,-0.540263719356361
501 12th Street,"501 12th Street Northeast, Washington, DC",This 1926 boutique building maintains its historic charm while offering modern luxury living.,1,2 Bedrooms,2558,775,3,38.8963632,-76.9898901,3955,1763,0.055815511549708575
Ashton Judiciary Square,"750 3rd Street Nw, Washington, DC","In NW DC, these one- to three-bedroom apartments include a concierge, a resident lounge, open floor plans, amazing views and high ceilings. The luxury boutique community is close to Logan Circle and public transportation.",8,1 Bedroom,2999,1197,2,38.8990379,-77.0155587,1727,1168,0.34564014311484276
Ashton Judiciary Square,"750 3rd Street Nw, Washington, DC","In NW DC, these one- to three-bedroom apartments include a concierge, a resident lounge, open floor plans, amazing views and high ceilings. The luxury boutique community is close to Logan Circle and public transportation.",8,2 Bedrooms,3999,1197,3,38.8990379,-77.0155587,1727,1168,1.0028388541468929
Ashton Judiciary Square,"750 3rd Street Nw, Washington, DC","In NW DC, these one- to three-bedroom apartments include a concierge, a resident lounge, open floor plans, amazing views and high ceilings. The luxury boutique community is close to Logan Circle and public transportation.",8,3 Bedrooms,6100,1197,4,38.8990379,-77.0155587,1727,1168,2.3836133460252307
The Swift at Petworth Metro,"3828 Georgia Ave NW, Washington, DC","Ideally situated near Georgia Avenue-Petworth Metro Station. Stylish apartment community offering panoramic views of the National Cathedral and Washington Monument. Residents' amenities include a courtyard, gym and rooftop terrace with BBQ grilling stations.",27,Studio,1311,480,1,38.9381939,-77.02480539999998,4549,5527,-0.763711281107258
The Swift at Petworth Metro,"3828 Georgia Ave NW, Washington, DC","Ideally situated near Georgia Avenue-Petworth Metro Station. Stylish apartment community offering panoramic views of the National Cathedral and Washington Monument. Residents' amenities include a courtyard, gym and rooftop terrace with BBQ grilling stations.",27,1 Bedroom,1727,718,2,38.9381939,-77.02480539999998,4549,5527,-0.4903166173179252
The Swift at Petworth Metro,"3828 Georgia Ave NW, Washington, DC","Ideally situated near Georgia Avenue-Petworth Metro Station. Stylish apartment community offering panoramic views of the National Cathedral and Washington Monument. Residents' amenities include a courtyard, gym and rooftop terrace with BBQ grilling stations.",27,2 Bedrooms,2085,1037,3,38.9381939,-77.02480539999998,4549,5527,-0.2550394787684512
The Gale Eckington,"151 Q St NE, Washington, DC",Named after 19th-century D.C. mayor Joseph Gales Jr.,116,Studio,1385,498,1,38.91080609999999,-77.0037105,3094,2342,-0.7150785764908864
The Gale Eckington,"151 Q St NE, Washington, DC",Named after 19th-century D.C. mayor Joseph Gales Jr.,116,1 Bedroom,1605,698,2,38.91080609999999,-77.0037105,3094,2342,-0.5704948600638353
The Gale Eckington,"151 Q St NE, Washington, DC",Named after 19th-century D.C. mayor Joseph Gales Jr.,116,2 Bedrooms,1900,1073,3,38.91080609999999,-77.0037105,3094,2342,-0.3766212403093805
The Shay,"1921 8th St NW, Washington, DC","Stylish and contemporary apartments in a lively neighborhood packed with restaurants, bars and stores. Studio to two-bedroom units feature stainless steel appliances, laundry facilities and patio/balcony. Gym, pool and parking on site. Pets are welcome.",33,Studio,1780,554,1,38.91629010000001,-77.0226667,2307,3160,-0.45548508563322654
The Shay,"1921 8th St NW, Washington, DC","Stylish and contemporary apartments in a lively neighborhood packed with restaurants, bars and stores. Studio to two-bedroom units feature stainless steel appliances, laundry facilities and patio/balcony. Gym, pool and parking on site. Pets are welcome.",33,1 Bedroom,1872,690,2,38.91629010000001,-77.0226667,2307,3160,-0.3950228042182779
The Shay,"1921 8th St NW, Washington, DC","Stylish and contemporary apartments in a lively neighborhood packed with restaurants, bars and stores. Studio to two-bedroom units feature stainless steel appliances, laundry facilities and patio/balcony. Gym, pool and parking on site. Pets are welcome.",33,2 Bedrooms,3401,1047,3,38.91629010000001,-77.0226667,2307,3160,0.6098340249497269
Third & Rhode,"230 Rhode Island Ave NE, Washington, DC","A contemporary community featuring distinctive floor plans. Apartments feature stainless steel appliances, in-home washers and dryers, and large closets. Near the Red Line and within walking distance to area parks and shops.",2,Studio,1499,435,1,38.91953400000001,-77.0023314,3731,3317,-0.6401579234332326
Third & Rhode,"230 Rhode Island Ave NE, Washington, DC","A contemporary community featuring distinctive floor plans. Apartments feature stainless steel appliances, in-home washers and dryers, and large closets. Near the Red Line and within walking distance to area parks and shops.",2,1 Bedroom,1651,719,2,38.91953400000001,-77.0023314,3731,3317,-0.540263719356361
Third & Rhode,"230 Rhode Island Ave NE, Washington, DC","A contemporary community featuring distinctive floor plans. Apartments feature stainless steel appliances, in-home washers and dryers, and large closets. Near the Red Line and within walking distance to area parks and shops.",2,2 Bedrooms,2320,1106,3,38.91953400000001,-77.0023314,3731,3317,-0.10059778167591939
Fahrenheit,"3930 Georgia Ave NW, Washington, DC","Fahrenheit, in D.C.'s upmarket Petworth, is the epitome of high-end living: granite counters, walk-in closets, hardwood floors and more. Close to the most fashionable cafes and eateries, this place is dangerously cool.",4,1 Bedroom,1651,719,2,38.9395287,-77.02527590000003,4687,5681,-0.540263719356361
Fahrenheit,"3930 Georgia Ave NW, Washington, DC","Fahrenheit, in D.C.'s upmarket Petworth, is the epitome of high-end living: granite counters, walk-in closets, hardwood floors and more. Close to the most fashionable cafes and eateries, this place is dangerously cool.",4,2 Bedrooms,2675,770,3,38.9395287,-77.02527590000003,4687,5681,0.13270776074045845
Fahrenheit,"3930 Georgia Ave NW, Washington, DC","Fahrenheit, in D.C.'s upmarket Petworth, is the epitome of high-end living: granite counters, walk-in closets, hardwood floors and more. Close to the most fashionable cafes and eateries, this place is dangerously cool.",4,3 Bedrooms,2872,1714,4,38.9395287,-77.02527590000003,4687,5681,0.26217590681377234
Tilden Hall,"3945 Connecticut Ave NW, Washington, DC",Near the Red Line and Metro Stops for easy area access. This fully renovated community features large floor plans in a historic landmark building. Lots of upgrades including new appliances.,13,Studio,1475,290,1,38.940523,-77.060923,5206,7213,-0.6559306924980018
Tilden Hall,"3945 Connecticut Ave NW, Washington, DC",Near the Red Line and Metro Stops for easy area access. This fully renovated community features large floor plans in a historic landmark building. Lots of upgrades including new appliances.,13,1 Bedroom,1753,560,2,38.940523,-77.060923,5206,7213,-0.47322945083109186
Tilden Hall,"3945 Connecticut Ave NW, Washington, DC",Near the Red Line and Metro Stops for easy area access. This fully renovated community features large floor plans in a historic landmark building. Lots of upgrades including new appliances.,13,2 Bedrooms,2550,748,3,38.940523,-77.060923,5206,7213,0.05055792186145217
Embassy Tower,"1620 Fuller St NW, Washington, DC","Many interior upgrades including stainless steel appliances, granite countertops, USB charging outlets, and in-unit laundry facilities. Just minutes from Meridian Hill Park and the Smithsonian.",15,Studio,1739,333,1,38.9245204,-77.0373312,2942,4569,-0.4824302327855406
Embassy Tower,"1620 Fuller St NW, Washington, DC","Many interior upgrades including stainless steel appliances, granite countertops, USB charging outlets, and in-unit laundry facilities. Just minutes from Meridian Hill Park and the Smithsonian.",15,1 Bedroom,1799,599,2,38.9245204,-77.0373312,2942,4569,-0.44299831012361757
Embassy Tower,"1620 Fuller St NW, Washington, DC","Many interior upgrades including stainless steel appliances, granite countertops, USB charging outlets, and in-unit laundry facilities. Just minutes from Meridian Hill Park and the Smithsonian.",15,2 Bedrooms,2225,759,3,38.9245204,-77.0373312,2942,4569,-0.16303165922396415
